"ocl";"chl";"chl2";"chl3";"chl4";"chl1a";"chl2a";"chl3a";"el";"bins"
"Bolivina paula";-3.87120101090789;0;NA;NA;NA;0;NA;NA;0;13
"Bolma rugosa";-3.87120101090789;0;NA;NA;NA;0;NA;NA;0;13
"Bursa rugosa";-3.09104245335832;1.09861228866811;-0.28768207245178;0.81093021621633;0.81093021621633;1;0;1;0;13
"Calliostoma grabaui";-4.00733318523247;0;NA;NA;NA;0;NA;NA;0;13
"Calliostoma laureatum";-3.87120101090789;0;0;-0.693147180559945;0;0;0;-1;1;13
"Callista chione";-2.73002910782098;0.405465108108164;0.810930216216328;0.810930216216328;NA;1;2;2;0;13
"Callista italica";-3.87120101090789;-0.693147180559945;0;NA;NA;-1;0;NA;1;13
"Callocardia gatunensis";-3.63758615972639;0;0;NA;NA;0;0;NA;0;13
"Callocardia sawitrae";-3.87120101090789;0;0;NA;NA;0;0;NA;1;13
"Calyptraea centralis";-2.93385686983591;0.916290731874155;0.916290731874155;0.510825623765991;1.89711998488588;1;1;0;0;13
"Calyptraea chinensis";-3.15700042115011;-0.405465108108164;0.287682072451781;-0.117783035656383;0.287682072451781;-1;0;-1;0;13
"Cancellaria anomoia";-3.72569342723665;0.693147180559945;NA;NA;NA;1;NA;NA;0;13
"Cancellaria apimela";-3.87120101090789;0;NA;NA;NA;0;NA;NA;1;13
"Cancris sagra";-3.15700042115011;0.693147180559945;NA;NA;NA;1;NA;NA;0;13
"Cardium latisulcum";-3.87120101090789;0;NA;NA;NA;0;NA;NA;1;13
"Cardium vindobonense";-3.87120101090789;0;NA;NA;NA;0;NA;NA;1;13
"Caryocorbula cuneata";-4.34380542185369;0;0;NA;NA;0;0;NA;0;13
"Caryocorbula oropendula";-3.87120101090789;0;NA;NA;NA;0;NA;NA;0;13
"Caryophyllia granulata";-3.87120101090789;0;0;NA;NA;0;0;NA;1;13
"Caryophyllia verrucosus";-3.15700042115011;0.693147180559945;NA;NA;NA;1;NA;NA;1;13
"Cerastoderma edule";-3.88156379794344;0;NA;NA;NA;0;NA;NA;0;13
"Cerithium travancorense";-3.87120101090789;0;NA;NA;NA;0;NA;NA;1;13
"Cerithium vulgatum";-4.58496747867057;-0.693147180559945;NA;NA;NA;-1;NA;NA;0;13
"Cernina fijiensis";-3.87120101090789;0;NA;NA;NA;0;NA;NA;1;13
"Chama gryphoides";-3.63758615972639;-1.09861228866811;0;NA;NA;-1;0;NA;0;13
"Chesacardium laqueatum";-4.34380542185369;0;0;NA;NA;0;0;NA;0;13
"Chesaconcavus myosulcatus";-4.34380542185369;0;NA;NA;NA;0;NA;NA;0;13
"Chesaconcavus rossi";-4.34380542185369;0;NA;NA;NA;0;NA;NA;0;13
"Chesaconcavus santamaria";-4.34380542185369;0;NA;NA;NA;0;NA;NA;0;13
"Chesapecten covepointensis";-3.87120101090789;0;NA;NA;NA;0;NA;NA;1;13
"Chesapecten madisonius";-3.87120101090789;0;-0.693147180559945;NA;NA;0;-1;NA;0;13
"Chicoreus brevifrons";-3.15700042115011;0.693147180559945;NA;NA;NA;1;NA;NA;0;13
"Chione yiizukai";-3.87120101090789;-0.693147180559945;NA;NA;NA;-1;NA;NA;1;13
