"ocl";"chl";"chl2";"chl3";"chl4";"chl1a";"chl2a";"chl3a";"el";"bins"
"Nucula cahuitensis";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Nucula placentina";-4.34380542185369;-0.693147180559945;NA;NA;NA;-1;NA;NA;1;14
"Nucula psjakauphensis.1";-4.00733318523247;0;0;NA;NA;0;0;NA;0;14
"Nucula taphria.1";-4.34380542185369;0;0;0;NA;0;0;0;0;14
"Nucula tenuisculpta";-4.34380542185369;-0.693147180559945;NA;NA;NA;-1;NA;NA;1;14
"Nuculana bonellii";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Nuculana sachalinensis";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Nuculana tatarica.1";-4.34380542185369;0;-0.405465108108164;0.693147180559946;NA;0;-1;0;1;14
"Nuculana tumiensis";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Nuculana verconis";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Nuculana woodsi";-3.63758615972639;0.693147180559945;NA;NA;NA;1;NA;NA;1;14
"Ocenebra japonica";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Oliva brevispira";-4.43081679884332;0;NA;NA;NA;0;NA;NA;0;14
"Oliva couvana";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Oliva cylindrica.1";-3.30810695859614;-0.287682072451781;1.09861228866811;1.79175946922805;1.79175946922805;-1;0;1;0;14
"Oliva funebralis";-3.63758615972639;0.693147180559945;NA;NA;NA;1;NA;NA;1;14
"Oliva giraudi";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Oliva reticularis";-3.58698514643259;-0.693147180559945;NA;NA;NA;-1;NA;NA;0;14
"Oliva subulata";-3.2188758248682;0.405465108108165;NA;NA;NA;1;NA;NA;1;14
"Oliva woolnoughi.1";-4.34380542185369;0;0;0;NA;0;0;0;1;14
"Olivancillaria claneophila";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Olivella fundarugata";-3.72569342723665;0;NA;NA;NA;0;NA;NA;0;14
"Olivella indivisa";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Olivella javana";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Olivella marksi";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Olivella mutica";-4.58496747867057;0;NA;NA;NA;0;NA;NA;0;14
"Olivella muticoides";-4.43081679884332;0;NA;NA;NA;0;NA;NA;0;14
"Orbicella annularis";-4.58496747867057;0;NA;NA;NA;0;NA;NA;0;14
"Orbulina universa.1";-4.91998092582812;-0.693147180559945;-1.38629436111989;NA;NA;-1;-2;NA;0;14
"Ostrea arenicola";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Ostrea compressirostra";-4.43081679884332;0;NA;NA;NA;0;NA;NA;0;14
"Ostrea disparilis";-4.21950770517611;0;NA;NA;NA;0;NA;NA;0;14
"Ostrea edulis.1";-4.58496747867057;-0.693147180559945;-0.693147180559945;NA;NA;-1;-1;NA;0;14
"Ostrea gravitesta";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Ostrea lamellosa";-3.51154543883102;0.405465108108165;NA;NA;NA;1;NA;NA;0;14
"Ostrea messor.1";-4.00733318523247;0;0;NA;NA;0;0;NA;0;14
"Ostreola stentina";-3.63758615972639;0.693147180559945;NA;NA;NA;1;NA;NA;1;14
"Pachyseris curvata";-3.72569342723665;0;NA;NA;NA;0;NA;NA;0;14
"Pacipecten discus";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Palaeoplesiastraea columnaeformis";-4.34380542185369;-0.693147180559945;NA;NA;NA;-1;NA;NA;1;14
"Palaeoplesiastraea turonensis";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Palliolum cibaoense";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Palliolum similis";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Palmerella ranikoti.1";-4.13915857801189;-0.693147180559945;0.405465108108165;NA;NA;-1;0;NA;0;14
"Panopea abbreviata";-4.34380542185369;0;NA;NA;NA;0;NA;NA;0;14
"Panopea goldfussii.1";-4.34380542185369;-0.693147180559945;-0.693147180559945;-0.693147180559945;NA;-1;-1;-1;1;14
"Panopea japonica";-4.34380542185369;0;NA;NA;NA;0;NA;NA;0;14
"Panopea quemadensis";-4.34380542185369;-0.693147180559945;NA;NA;NA;-1;NA;NA;1;14
"Paphia vetula";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Paracyathus nannodes";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Parametaria islahispaniolae";-4.00733318523247;0;NA;NA;NA;0;NA;NA;0;14
"Parametaria prototypus";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Parvilucina crenella";-4.34380542185369;0;NA;NA;NA;0;NA;NA;0;14
"Parvilucina yaquensis";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Pecten aduncus.1";-4.34380542185369;-0.693147180559945;-1.38629436111989;NA;NA;-1;-2;NA;1;14
"Pecten benedictus.1";-3.30810695859614;0;0;NA;NA;0;0;NA;0;14
"Pecten coderensis";-4.00733318523247;-0.693147180559945;NA;NA;NA;-1;NA;NA;0;14
"Pecten dunkeri";-4.00733318523247;0;NA;NA;NA;0;NA;NA;0;14
"Pecten seguenzai";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Pectunculina aoteana.1";-4.34380542185369;0;0;NA;NA;0;0;NA;1;14
"Pelecyora islandicoides.1";-4.34380542185369;0;0.693147180559945;0.693147180559945;NA;0;1;1;1;14
"Pellax jejuna";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Pericosmus granulosus";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Periglypta caribbeana";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Periploma ochotensis";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Persicula cercadensis";-4.34380542185369;-0.693147180559945;NA;NA;NA;-1;NA;NA;1;14
"Persicula propeobesa";-4.34380542185369;-1.09861228866811;NA;NA;NA;-1;NA;NA;1;14
"Persististrombus preoccupatus.1";-3.63758615972639;0.693147180559945;0.693147180559945;0.693147180559945;NA;1;1;1;1;14
"Perunassa ursa";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Petaloconchus domingensis";-4.00733318523247;0;NA;NA;NA;0;NA;NA;0;14
"Petaloconchus floridanus";-4.21950770517611;-0.693147180559945;NA;NA;NA;-1;NA;NA;0;14
"Petaloconchus laddfranklinae";-3.72569342723665;0.693147180559945;NA;NA;NA;1;NA;NA;0;14
"Petaloconchus sculpturatus.1";-3.30810695859614;-0.287682072451781;1.09861228866811;0.405465108108164;-5.55111512312578e-17;-1;0;-1;0;14
"Phacoides cercadica";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Phasianella dennanti";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Phos iwakianus";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Phyllonotus pomatus";-4.00733318523247;0;NA;NA;NA;0;NA;NA;0;14
"Pinctada crassicardia";-3.63758615972639;0.693147180559945;NA;NA;NA;1;NA;NA;1;14
"Pitar carbasea";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Pitar circinatus";-4.00733318523247;0;NA;NA;NA;0;NA;NA;0;14
"Pitar labreanus";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Pitar laziarina";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Placamen subroborata";-3.63758615972639;0.693147180559945;NA;NA;NA;1;NA;NA;1;14
"Placuna ephippium";-4.43081679884332;0;NA;NA;NA;0;NA;NA;0;14
"Placunanomia lithobleta";-4.43081679884332;0;NA;NA;NA;0;NA;NA;0;14
"Plagiocardium papillosum.1";-3.46573590279973;0;-0.693147180559945;-0.693147180559945;NA;0;-1;-1;0;14
"Platyhelia distans";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Pleiorytis caroniana";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Pleurofusia fusinus.1";-4.34380542185369;-0.693147180559945;0;NA;NA;-1;0;NA;1;14
"Pleuromeris acaris";-3.63758615972639;0.693147180559945;NA;NA;NA;1;NA;NA;1;14
"Pleuromeris pecten";-4.34380542185369;-0.693147180559945;NA;NA;NA;-1;NA;NA;1;14
"Pleuromeris subpecten";-4.34380542185369;-0.693147180559945;NA;NA;NA;-1;NA;NA;1;14
"Pleuroploca olssoni";-4.00733318523247;0;NA;NA;NA;0;NA;NA;0;14
"Plicatula densata.1";-4.34380542185369;0;0;0;-1.38629436111989;0;0;0;1;14
"Pocillopora crassoramosa";-3.72569342723665;0.693147180559945;NA;NA;NA;1;NA;NA;0;14
"Polinices callosior.1";-4.34380542185369;-0.693147180559945;-0.693147180559945;NA;NA;-1;-1;NA;1;14
"Polinices cumingianus.1";-2.56494935746154;1.38629436111989;1.38629436111989;NA;NA;1;1;NA;0;14
"Polinices hepaticus";-3.72569342723665;-1.09861228866811;NA;NA;NA;-1;NA;NA;0;14
"Polinices stanislasmeunieri.1";-3.72569342723665;-0.916290731874155;0.693147180559945;NA;NA;-1;0;NA;0;14
"Polinices subporcana";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Polinices subvarians";-3.63758615972639;0.693147180559945;NA;NA;NA;1;NA;NA;1;14
"Polystira barretti";-3.72569342723665;0;NA;NA;NA;0;NA;NA;0;14
"Porites arenosa";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Porites baracoaensis.1";-2.89958841300109;0.405465108108165;1.09861228866811;NA;NA;1;2;NA;0;14
"Porites calabricae";-2.68102152871429;0.916290731874155;NA;NA;NA;1;NA;NA;1;14
"Porites collegniana.1";-4.34380542185369;-0.693147180559945;-1.38629436111989;-0.470003629245735;-0.875468737353899;-1;-2;-1;1;14
"Porites convivatoris";-4.00733318523247;0;NA;NA;NA;0;NA;NA;0;14
"Porites leptoclada";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Porites lobatosepta";-2.91777073208428;0.693147180559945;NA;NA;NA;1;NA;NA;1;14
"Porites portoricensis.1";-3.09104245335832;1.09861228866811;1.09861228866811;NA;NA;1;1;NA;0;14
"Porites waylandi.1";-3.09104245335832;1.09861228866811;1.09861228866811;1.09861228866811;1.09861228866811;1;1;1;0;14
"Potamides suprasulcatus.1";-4.00733318523247;-0.693147180559945;-0.693147180559945;-1.09861228866811;-1.38629436111989;-1;-1;-2;0;14
"Potamides wardi";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Progyrosmilia vacua";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Propebela parva.1";-4.34380542185369;0;0;NA;NA;0;0;NA;1;14
"Prunum calypsonis";-4.34380542185369;-0.693147180559945;NA;NA;NA;-1;NA;NA;1;14
"Prunum christineladdae";-4.00733318523247;0;NA;NA;NA;0;NA;NA;0;14
"Prunum coniforme";-3.72569342723665;0.693147180559945;NA;NA;NA;1;NA;NA;0;14
"Psammacoma gatunensis";-3.72569342723665;-0.405465108108164;NA;NA;NA;-1;NA;NA;0;14
"Psammacoma olivella";-4.43081679884332;0;NA;NA;NA;0;NA;NA;0;14
"Psammosolen sanctidominici";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Pseudamiantis pinguis";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Pseudochama gryphina";-4.00733318523247;-0.693147180559945;NA;NA;NA;-1;NA;NA;0;14
"Pseudotorinia corwini";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Pteria inornata";-3.63758615972639;0;NA;NA;NA;0;NA;NA;1;14
"Pteromyrtea danieli";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Pugilina ponderosa";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Purpuriconus symmetricus";-4.00733318523247;-0.693147180559945;NA;NA;NA;-1;NA;NA;0;14
"Pustularia childreni";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Putilla suvaensis";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Pycnodonte germanitala";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Pyruclia cibarcola";-4.00733318523247;-1.09861228866811;NA;NA;NA;-1;NA;NA;0;14
"Pyruclia scheibei";-4.43081679884332;-0.693147180559945;NA;NA;NA;-1;NA;NA;0;14
"Pyruclia uva";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Pyruconus haitensis";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Pyruconus haytensis";-4.00733318523247;0;NA;NA;NA;0;NA;NA;0;14
"Pyruconus recognitus";-3.72569342723665;-0.405465108108164;NA;NA;NA;-1;NA;NA;0;14
"Raeta hasletti";-4.00733318523247;-0.693147180559945;NA;NA;NA;-1;NA;NA;0;14
"Raeta undulata.1";-3.29583686600433;-0.405465108108164;0.693147180559946;0.693147180559946;0.693147180559946;-1;0;0;0;14
"Rangia johnsoni";-4.00733318523247;0;NA;NA;NA;0;NA;NA;0;14
"Reussella spinulosa.1";-4.58496747867057;0;0;0;NA;0;0;0;0;14
"Rhinoclavis junghuhni";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Rhinoclavis leupoldi";-3.63758615972639;0.693147180559945;NA;NA;NA;1;NA;NA;1;14
"Rhinoclavis marshallensis";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Rhinoclavis terpna";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Rissoina abbotti";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Rissoina bourneae";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Rissoina clathrata";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Rissoina elegantula";-3.63758615972639;0.693147180559945;NA;NA;NA;1;NA;NA;1;14
"Rissoina indrai";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Rissoina lomaloana";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Rissoina rilebana";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Rissoina waluensis";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Saccella concentrica";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Saccella ludificans";-4.00733318523247;0;NA;NA;NA;0;NA;NA;0;14
"Saccella peltella";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Sassia adelaidensis";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Scalariogyra escharoides";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Scalina cheneyi";-4.00733318523247;0;NA;NA;NA;0;NA;NA;0;14
"Scapharca diluvii.1";-3.72569342723665;-1.09861228866811;-1.09861228866811;-0.693147180559946;-0.693147180559946;-1;-1;0;0;14
"Scapharca placata";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Schizochiton marshallensis";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Sconsia cocleana";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Sconsia grayi.1";-2.78809290877575;0.693147180559945;1.38629436111989;1.38629436111989;1.38629436111989;1;2;2;0;14
"Sconsia laevigata";-4.43081679884332;-0.693147180559945;NA;NA;NA;-1;NA;NA;0;14
"Semele anteriocosta";-4.00733318523247;0;NA;NA;NA;0;NA;NA;0;14
"Semele claytoni";-3.29583686600433;-0.405465108108164;NA;NA;NA;-1;NA;NA;0;14
"Semele laevis.1";-2.78809290877575;0.693147180559945;1.38629436111989;NA;NA;1;2;NA;0;14
"Semele perlamellosa";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Semicassis centiquadrata";-4.58496747867057;-0.693147180559945;NA;NA;NA;-1;NA;NA;0;14
"Semicassis granulata";-3.88156379794344;0;NA;NA;NA;0;NA;NA;0;14
"Semicassis reclusa";-4.43081679884332;-1.09861228866811;NA;NA;NA;-1;NA;NA;0;14
"Seriatopora micrommata";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Seriatopora ornata";-4.00733318523247;0;NA;NA;NA;0;NA;NA;0;14
"Serpulorbis granifer";-4.00733318523247;0;NA;NA;NA;0;NA;NA;0;14
"Serpulorbis javanus";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Serpulorbis papulosus.1";-4.01938152374865;-1.38629436111989;-1.09861228866811;1.11022302462516e-15;NA;-1;0;1;0;14
"Serripecten carteri";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Serripecten semilaevis.1";-4.34380542185369;-0.693147180559945;-0.693147180559945;0;NA;-1;-1;0;1;14
"Siderastrea crenulata.1";-2.68102152871429;1.6094379124341;1.6094379124341;1.6094379124341;0.916290731874155;1;1;1;1;14
"Siderastrea miocenica.1";-4.34380542185369;0;0;0.405465108108164;0;0;0;1;1;14
"Siderastrea siderea.1";-4.42911467077278;0;0;0;0;0;0;0;0;14
"Siliqua subaequalis";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Sincola chiriquiensis";-4.34380542185369;-0.693147180559945;NA;NA;NA;-1;NA;NA;1;14
"Sincola colombiana";-4.00733318523247;-0.693147180559945;NA;NA;NA;-1;NA;NA;0;14
"Sincola crassilabrum";-4.43081679884332;0;NA;NA;NA;0;NA;NA;0;14
"Sincola gurabensis";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Sincola melajoensis";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Sincola nanniebellae";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Sincola pigea";-3.72569342723665;0;NA;NA;NA;0;NA;NA;0;14
"Sinum ineptum";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Siphonalia mikado";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Siphonalia spadicea";-4.00733318523247;0;NA;NA;NA;0;NA;NA;0;14
"Smaragdia jogjacartensis";-3.63758615972639;0.693147180559945;NA;NA;NA;1;NA;NA;1;14
"Smaragdia viridis";-4.81014976667463;0;NA;NA;NA;0;NA;NA;0;14
"Solena obliquus";-4.00733318523247;-0.693147180559945;NA;NA;NA;-1;NA;NA;0;14
"Solenastrea bournoni";-3.88156379794344;0.693147180559945;NA;NA;NA;1;NA;NA;0;14
"Solenastrea hyades.1";-4.58496747867057;0;0;0;-0.693147180559945;0;0;0;0;14
"Solenastrea romettensis";-4.34380542185369;-0.693147180559945;NA;NA;NA;-1;NA;NA;1;14
"Solenosteira cochlearis";-4.00733318523247;0;NA;NA;NA;0;NA;NA;0;14
"Solenosteira falconensis.1";-4.43081679884332;-0.693147180559945;0;0;NA;-1;0;0;0;14
"Solenosteira santaerosae";-4.00733318523247;0;NA;NA;NA;0;NA;NA;0;14
"Spathochlamys vaginula";-4.43081679884332;0;NA;NA;NA;0;NA;NA;0;14
"Spectamen planicarinatum";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Sphenotrochus intermedius";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Spisula sachalinensis.1";-4.34380542185369;0;0;NA;NA;0;0;NA;0;14
"Spisula subtruncata.1";-4.58496747867057;-0.693147180559945;-0.287682072451781;NA;NA;-1;0;NA;0;14
"Spondylus bostrychites.1";-4.43081679884332;-0.693147180559945;0;NA;NA;-1;0;NA;0;14
"Spondylus concentricus.1";-4.00733318523247;0;0;0;NA;0;0;0;0;14
"Spondylus crassicosta";-3.63758615972639;0.693147180559945;NA;NA;NA;1;NA;NA;1;14
"Spondylus gaederopus";-5.28320372873799;0.693147180559945;NA;NA;NA;1;NA;NA;0;14
"Spondylus gumanomocon";-4.43081679884332;-0.693147180559945;NA;NA;NA;-1;NA;NA;0;14
"Spondylus spondyloides";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Sportella jubata";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Stephanocoenia duncani.1";-3.51154543883102;0.693147180559945;0.693147180559945;0.693147180559945;NA;1;1;1;0;14
"Stephanocoenia spongiformis";-4.21950770517611;0;NA;NA;NA;0;NA;NA;0;14
"Stewartia anodonta.1";-4.34380542185369;0;0;0;NA;0;0;0;0;14
"Stigmaulax guppiana.1";-2.57768838323897;-0.287682072451781;0;1.09861228866811;NA;-1;0;1;0;14
"Stigmaulax gurabensis";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Stigmaulax sulcata";-2.87167962488401;1.09861228866811;NA;NA;NA;1;NA;NA;0;14
"Stigmaulax vererugosum";-4.43081679884332;0;NA;NA;NA;0;NA;NA;0;14
"Stramonita haemastoma";-2.7408400239252;0;NA;NA;NA;0;NA;NA;0;14
"Striarca centenaria";-4.43081679884332;0;NA;NA;NA;0;NA;NA;0;14
"Striarca lactea.1";-3.88156379794344;0.693147180559945;0.693147180559945;1.09861228866811;NA;1;1;2;0;14
"Striarca sculptilis.1";-4.34380542185369;0;0;NA;NA;0;0;NA;1;14
"Strioterebrum baculiforme";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Strioterebrum cirra";-4.00733318523247;0;NA;NA;NA;0;NA;NA;0;14
"Strioterebrum cirrus";-4.00733318523247;0;NA;NA;NA;0;NA;NA;0;14
"Strioterebrum gatunensis.1";-4.00733318523247;-1.38629436111989;0;0;NA;-1;0;0;0;14
"Strioterebrum gausapatum.1";-4.43081679884332;-1.09861228866811;0;NA;NA;-1;0;NA;0;14
"Strioterebrum indocayapum";-4.00733318523247;-0.693147180559945;NA;NA;NA;-1;NA;NA;0;14
"Strioterebrum spiriferum.1";-3.42994679494814;-0.916290731874155;0.693147180559945;NA;NA;-1;0;NA;0;14
"Strombina colinensis.1";-4.00733318523247;-1.09861228866811;-0.693147180559946;-0.693147180559946;NA;-1;0;0;0;14
"Strombina lessepsiana.1";-3.29583686600433;-0.405465108108164;0.693147180559946;NA;NA;-1;0;NA;0;14
"Strombina pseudohaitensis";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Strombus bifrons";-4.43081679884332;0;NA;NA;NA;0;NA;NA;0;14
"Strombus coronatus";-4.43081679884332;0;NA;NA;NA;0;NA;NA;0;14
"Strombus gatunensis";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Strombus maximus";-4.00733318523247;-0.405465108108164;NA;NA;NA;-1;NA;NA;0;14
"Strombus micklei";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Strombus proximus.1";-4.43081679884332;-0.693147180559945;0;0;NA;-1;0;0;0;14
"Stylophora affinis.1";-3.09104245335832;1.09861228866811;1.09861228866811;NA;NA;1;1;NA;0;14
"Stylophora granulata.1";-2.54944517092557;0.693147180559945;1.38629436111989;1.38629436111989;1.38629436111989;1;2;2;0;14
"Stylophora minor.1";-3.09104245335832;0.405465108108165;0.405465108108165;NA;NA;1;1;NA;0;14
"Stylophora monticulosa.1";-2.78809290877575;0.693147180559945;1.38629436111989;1.38629436111989;NA;1;2;2;0;14
"Stylophora pistillata";-5.0998664278242;-0.693147180559945;NA;NA;NA;-1;NA;NA;0;14
"Stylophora verrucosa";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Subcancilla dariensis";-4.34380542185369;-0.693147180559945;NA;NA;NA;-1;NA;NA;1;14
"Subcancilla longa";-3.63758615972639;0;NA;NA;NA;0;NA;NA;1;14
"Syrnola acrisecta";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Syrnola adelaidensis";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Syrnola infrasulcata";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Tagelus mansfieldi";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Talochlamys pusio";-3.63758615972639;0.693147180559945;NA;NA;NA;1;NA;NA;1;14
"Tanea undulata";-4.43081679884332;0;NA;NA;NA;0;NA;NA;0;14
"Tapes basteroti";-4.34380542185369;-0.693147180559945;NA;NA;NA;-1;NA;NA;1;14
"Tarbellastraea bragai";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Tarbellastraea reussiana.1";-2.68102152871429;-0.470003629245736;-0.133531392624523;0.741937344729377;0.518793793415167;-1;0;1;1;14
"Tarbellastraea tenera";-4.34380542185369;-1.09861228866811;NA;NA;NA;-1;NA;NA;1;14
"Teinostoma andrium";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Teinostoma caroniense";-4.43081679884332;0;NA;NA;NA;0;NA;NA;0;14
"Teinostoma depressulum";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Teinostoma melajoense";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Teinostoma nugax";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Teinostoma spretum";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Tellina albinelloides";-4.34380542185369;-0.693147180559945;NA;NA;NA;-1;NA;NA;1;14
"Tellina elinguis";-4.00733318523247;0;NA;NA;NA;0;NA;NA;0;14
"Tellina lepidota";-4.34380542185369;-0.693147180559945;NA;NA;NA;-1;NA;NA;1;14
"Tellina maoica";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Tellina rovala";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Temnoconcha brasiliana";-4.00733318523247;0;NA;NA;NA;0;NA;NA;0;14
"Tenagodus australis";-4.34380542185369;-0.693147180559945;NA;NA;NA;-1;NA;NA;1;14
"Tenagodus obtusiformis";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Terebra bandongensis";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Terebra haitensis";-4.43081679884332;0;NA;NA;NA;0;NA;NA;0;14
"Terebra ickei";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Terebra isaacpetiti";-4.43081679884332;-0.693147180559945;NA;NA;NA;-1;NA;NA;0;14
"Terebra subsulcifera";-4.43081679884332;-0.693147180559945;NA;NA;NA;-1;NA;NA;0;14
"Terebra sulcifera.1";-4.00733318523247;0;0;NA;NA;0;0;NA;0;14
"Terebralia dentilabris.1";-4.34380542185369;0;0;0;-0.693147180559945;0;0;0;1;14
"Terebralia sublignitarum";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Terebralia sulcata";-4.34380542185369;0;NA;NA;NA;0;NA;NA;0;14
"Tesseracme dissimile.1";-3.63758615972639;0.693147180559945;0.693147180559945;NA;NA;1;1;NA;1;14
"Thracia gatunensis";-4.34380542185369;-0.693147180559945;NA;NA;NA;-1;NA;NA;1;14
"Thysanus corbicula";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Tibia powisi.1";-4.34380542185369;0;0;NA;NA;0;0;NA;0;14
"Tibia verbeeki";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Timoclea bataviana";-4.34380542185369;0;NA;NA;NA;0;NA;NA;1;14
"Timoclea ovata";-3.51154543883102;0;NA;NA;NA;0;NA;NA;0;14
"Tonna galea";-3.88156379794344;0;NA;NA;NA;0;NA;NA;0;14
"Trachycardium dominicanum";-4.00733318523247;-1.38629436111989;NA;NA;NA;-1;NA;NA;0;14
"Trachycardium isocardia";-4.17438726989563;0;NA;NA;NA;0;NA;NA;0;14
"Trachycardium lingualeonis";-3.72569342723665;0.693147180559945;NA;NA;NA;1;NA;NA;0;14
