"","genus","phylum","class","order","family","fad","lad","logsize","logvol"
"117948","Kobayashites","Mollusca","Bivalvia","Ostreida","Bakevelliidae",170.3,170.3,1.48939592172713,3.75007584086316
"117954","Kochiproductus","Brachiopoda","Strophomenata","Productida","Productidae",315.2,254.17,1.84360647192451,4.78006077306642
"118151","Koenenia","Mollusca","Bivalvia","Nuculanida","Malletiidae",387.7,387.7,1.65561858354122,4.22254102106216
"118156","Koenenites","Mollusca","Cephalopoda","Agoniatitida","Koenenitidae",387.7,387.7,1.94516546560676,4.98891931924702
"118160","Koeveskallina","Brachiopoda","Rhynchonellata","Spiriferinida","Balatonospiridae",247.2,242,1.18012587516405,2.9343263077413
"118204","Koigia","Brachiopoda","Rhynchonellata","Athyridida","Meristellidae",443.4,443.4,1.0265332645233,2.49025040722484
"118205","Kokanostrea","Mollusca","Bivalvia","Pterioida","",41.3,38,1.42667388802137,3.57179703920143
"118208","Kokenella","Mollusca","Gastropoda","Murchisoniina","Porcelliidae",237,237,1.86740855652279,4.78414558065045
"118212","Kokenospira","Mollusca","Gastropoda","Bellerophontida","Bucaniidae",467.3,254.17,1.43542780002634,3.51581776993449
"118218","Kolihapeltis","Arthropoda","Trilobita","Corynexochida","Styginidae",410.8,410.8,2.11090325769709,4.85159981080152
"118229","Kolymaella","Brachiopoda","Strophomenata","Productida","Monticuliferidae",279.3,272.3,1.54961623951909,3.94283881351174
"118236","Kolymithyris","Brachiopoda","Rhynchonellata","Terebratulida","Zeilleriidae",228,208.5,1.38649896555065,3.53100420502729
"118242","Komiella","Brachiopoda","Rhynchonellata","Spiriferinida","Komiellidae",393.3,393.3,1.12162549220847,2.76518659370701
"118248","Komukia","Brachiopoda","Strophomenata","Productida","Rugosochonetidae",298.9,298.9,1.18165306612468,2.8949575742181
"118250","Koninckella","Brachiopoda","Rhynchonellata","Athyridida","Koninckinidae",190.8,190.8,0.550444187308811,1.11375394161968
"118254","Koninckina","Brachiopoda","Rhynchonellata","Athyridida","Koninckinidae",237,208.5,0.856849678725172,1.99965134225805
"118276","Koninckites","Mollusca","Cephalopoda","Ceratitida","Meekoceratidae",252.17,251.2,1.69473051836364,4.31006401904159
"118302","Koninckodonta","Brachiopoda","Rhynchonellata","Athyridida","Koninckinidae",199.3,190.8,1.34498141392726,3.41096624195419
"118318","Kosmermoceras","Mollusca","Cephalopoda","","Stephanoceratidae",170.3,170.3,1.35080161239497,3.37777416380813
"118331","Kosmoceras","Mollusca","Cephalopoda","","",166.1,139.8,1.57065967002153,3.97374453198431
"118342","Kosmoclymenia","Mollusca","Cephalopoda","Clymeniida","Kosmoclymeniidae",372.2,372.2,1.7160033436348,4.36772837597197
"118351","Kosovopeltis","Arthropoda","Trilobita","Corynexochida","Styginidae",443.4,419.2,1.93841964579319,4.36896428139829
"118384","Kossmatella","Mollusca","Cephalopoda","","Gaudryceratidae",113,113,1.58972625625424,4.02542842540007
"118388","Kossmaticeras","Mollusca","Cephalopoda","Ammonitida","Kossmaticeratidae",113,72.1,1.93951925261862,4.97361410064522
"118394","Kossmaticeras (Karapadites)","Mollusca","Cephalopoda","","Kossmaticeratidae",83.6,83.6,1.88963780040667,4.83840019144925
"118396","Kossmaticeras (Kossmaticeras)","Mollusca","Cephalopoda","Ammonitida","Kossmaticeratidae",93.9,89.8,1.78943968456718,4.56679264323354
"118399","Kossmaticeras (Natalites)","Mollusca","Cephalopoda","Ammonitida","Kossmaticeratidae",86.3,72.1,1.93951925261862,4.97361410064522
"118414","Kotlaia","Brachiopoda","Rhynchonellata","Orthida","Schizophoriidae",295.5,252.17,1.31889771462749,3.33555153152623
"118477","Kotoceras","Mollusca","Cephalopoda","Endocerida","Endoceratidae",467.3,467.3,2.03092339962722,5.22138379229814
"118486","Kotysex","Brachiopoda","Rhynchonellata","Rhynchonellida","Phoenicitoechiidae",410.8,410.8,1.13129779659762,2.79315172343404
"118488","Kozlenia","Brachiopoda","Rhynchonellata","Athyridida","Meristellidae",430.5,425.6,1.02822256180116,2.49513460189265
"118494","Kozlowskia","Brachiopoda","Strophomenata","Productida","Productidae",330.9,265.1,1.26717172840301,3.13849662456459
"118618","Kozlowskiella","Arthropoda","Ostracoda","Palaeocopida","",419.2,387.7,0.301029995663981,0.0343665484515334
"118620","Kozlowskiellina","Brachiopoda","Rhynchonellata","Spiriferida","Cyrtinopsidae",430.5,393.3,1.47769992833213,3.79468973980787
"118635","Kransia","Brachiopoda","Rhynchonellata","Rhynchonellida","Hebetoechiidae",407.6,382.7,1.00532353719859,2.42892760841223
"118644","Krattorthis","Brachiopoda","Rhynchonellata","Orthida","Productorthidae",467.3,467.3,1.43552585149865,3.67275359281392
"118650","Krausella","Arthropoda","Ostracoda","Podocopida","Krausellidae",458.4,66,0.364488457448779,0.210502998771018
"118657","Kraussina","Brachiopoda","Rhynchonellata","Terebratulida","Kraussinidae",7.246,2.588,1.43248825577051,3.66397111914702
"118663","Krimargyrotheca","Brachiopoda","Rhynchonellata","Terebratulida","Praeargyrothecidae",145,145,0.39084682689535,0.652316758867279
"118665","Krithe","Arthropoda","Ostracoda","Podocopida","Cytherideidae",237,3.6,0.0644579892269184,-0.622266976642333
"118694","Krotovia","Brachiopoda","Strophomenata","Productida","Productellidae",372.2,252.17,1.17396283452336,2.87305742223682
"118794","Krumbeckiella","Mollusca","Bivalvia","Ostreida","Pergamidiidae",228,208.5,1.58950279626376,4.03461593907194
"118797","Kryptophanaron","Chordata","bony fish","Beryciformes","Anomalopidae",11.62,11.62,2.09691001300806,4.35087328445261
"118798","Kugleria","Mollusca","Bivalvia","Hippuritida","Requieniidae",113,113,2.04906288979412,5.34085264610369
"118799","Kuhlia","Chordata","bony fish","Perciformes","",33.9,33.9,2.65321251377534,5.94795638152845
"118800","Kullervo","Brachiopoda","Strophomenata","Billingsellida","Gonambonitidae",467.3,445.2,1.14519640611418,2.79113672247388
"118821","Kulumbella","Brachiopoda","Rhynchonellata","Pentamerida","Stricklandiidae",440.8,438.5,1.73759016628572,4.54609953076856
"118825","Kumatostephanus","Mollusca","Cephalopoda","","Stephanoceratidae",170.3,170.3,2.24797326636181,5.80974198297277
"118826","Kummelia","Mollusca","Bivalvia","Myoida","Gastrochaenidae",252.17,59.2,1.82451632800721,4.70260975780021
"118827","Kummelia","Mollusca","Bivalvia","Myoida","Gastrochaenidae",72.1,59.2,1.82451632800721,4.70260975780021
"118836","Kuphus","Mollusca","Bivalvia","Myoida","Teredinidae",66,1,2.70329137811866,7.20040763851067
"118923","Kurakithyris","Brachiopoda","Rhynchonellata","Terebratulida","",1.806,1,1.62117628177504,4.20951692838273
"118924","Kuresaaria","Arthropoda","Ostracoda","","",425.6,423,0.0137498296259417,-0.763013458406091
"118933","Kushlukia","Chordata","bony fish","Perciformes","",59.2,59.2,2.23044892137827,4.73424875565016
"118934","Kutchirhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Tetrarhynchiidae",168.3,163.5,1.56902258602956,4.0587271260165
"118965","Kutchithyris","Brachiopoda","Rhynchonellata","Terebratulida","Postepithyrididae",170.3,129.4,1.45484486000851,3.72860983528098
"119060","Kutorginella","Brachiopoda","Strophomenata","Productida","Productidae",315.2,265.1,1.51534389308838,3.84523842453799
"119244","Kuvelousia","Brachiopoda","Strophomenata","Productida","Linoproductidae",290.1,259.9,1.46523409498801,3.70253632516816
"119311","Kvania","Brachiopoda","Rhynchonellata","Orthida","Giraldiellidae",485.4,485.4,0.294390200869163,0.373435744444366
"119320","Kwangsirhynchus","Brachiopoda","Rhynchonellata","Rhynchonellida","Pugnacidae",419.2,410.8,1.1102529173534,2.73230554299183
"119326","Kymatites","Mollusca","Cephalopoda","Ceratitida","Gyronitidae",252.17,252.17,1.71409014899052,4.36254226940463
"119338","Kyutepia","Brachiopoda","Rhynchonellata","Spiriferinida","Licharewiidae",290.1,290.1,1.76437541860785,4.62354261215045
"119340","Labaella","Brachiopoda","Strophomenata","Productida","Productellidae",254.17,254.17,1.62179922400267,4.14840067596339
"119347","Labaia","Brachiopoda","Rhynchonellata","Terebratulida","Labaiidae",265.1,254.17,0.843544211945635,1.9611818018468
"119355","Laballa","Brachiopoda","Rhynchonellata","Spiriferinida","Laballidae",237,208.5,1.55666426212257,4.0229960202362
"119379","Labeceras","Mollusca","Cephalopoda","","Labeceratidae",113,113,2.28103336724773,5.89935816856825
"119381","Labridens","Mollusca","Gastropoda","Murchisoniina","Soleniscidae",279.3,272.3,1.00317320528333,2.24668594964513
"119387","Labrisomus","Chordata","bony fish","Perciformes","",7.246,7.246,2.54406804435028,5.63461465285086
"119388","Labrostrea","Mollusca","Bivalvia","Ostreida","Gryphaeidae",72.1,72.1,1.47885496752866,3.72011462035029
"119390","Labrus","Chordata","bony fish","Perciformes","",7.246,7.246,2.81888541459401,6.42358499936869
"119391","Lacazella","Brachiopoda","Rhynchonellata","Thecideida","Thecideidae",72.1,1,0.734099435156818,1.64474868955995
"119410","Laccochilina","Arthropoda","Ostracoda","Palaeocopida","Eurychilinidae",467.3,453,0.320665466665298,0.0888671156769061
"119433","Laccoprimitia","Arthropoda","Ostracoda","Palaeocopida","Eurychilinidae",453,423,0.99056082999402,1.94824076047704
"119437","Lachnolaimus","Chordata","bony fish","Perciformes","Labridae",38,3.6,2.95904139232109,6.82595734655988
"119440","Lachnostoma","Arthropoda","Trilobita","Asaphida","Asaphidae",485.4,470,1.58855180648564,3.38998055081964
"119464","Lacinia","Mollusca","Gastropoda","Neogastropoda","Buccinidae",66,28.1,2.02481393262931,5.24629953790374
"119479","Laciolina","Mollusca","Bivalvia","Cardiida","Tellinidae",125,1,1.97772360528885,5.13808048771564
"119484","Lactarius","Chordata","bony fish","Perciformes","",47.8,7.246,2.60205999132796,5.80110313377057
"119489","Lacuna","Mollusca","Gastropoda","Neotaenioglossa","",237,1,1.35276119172383,3.27310242497791
"119507","Lacunaerhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Cyclothyrididae",174.1,170.3,1.46508528755743,3.75821755577281
"119512","Lacunaria","Mollusca","Gastropoda","","Naticidae",100.5,41.3,1.33685982091681,3.22641481095866
"119528","Lacunina","Mollusca","Gastropoda","Neotaenioglossa","",237,237,0.786041210242554,1.60917017199793
"119532","Lacunosella","Brachiopoda","Rhynchonellata","Rhynchonellida","Basiliolidae",163.5,139.8,1.44839710345777,3.70996770604939
"119602","Ladjia","Brachiopoda","Rhynchonellata","Spiriferida","Ambocoeliidae",387.7,387.7,1.14082218010931,2.82068917570581
"119613","Ladogia","Brachiopoda","Rhynchonellata","Rhynchonellida","Ladogiidae",382.7,382.7,1.60097289568675,4.1511037219582
"119617","Ladogifornix","Brachiopoda","Rhynchonellata","Rhynchonellida","Ladogiidae",393.3,393.3,1.25743856685981,3.15785726436036
"119618","Ladogilina","Brachiopoda","Rhynchonellata","Rhynchonellida","Ladogiidae",382.7,382.7,1.20790353038605,3.01463868218095
"119620","Laemonema","Chordata","bony fish","Gadiformes","",11.62,1,2.85733249643127,6.533962329058
"119621","Laevibuccinum","Mollusca","Gastropoda","Neogastropoda","",66,41.3,1.36828688490213,3.31868702138074
"119651","Laevicardium","Mollusca","Bivalvia","Cardiida","Cardiidae",125,1,2.27875360095283,5.99371707537753
"119788","Laevicardium (Laevicardium)","Mollusca","Bivalvia","Veneroida","Cardiidae",38,1,1.77959649125782,4.57493126599477
"119804","Laevichlamys","Mollusca","Bivalvia","Pectinida","Pectinidae",3.6,1,1.98407703390283,5.15613923952618
"119805","Laevicyphomena","Brachiopoda","Strophomenata","Strophomenida","Strophomenidae",433.4,433.4,1.1077750894178,2.68456873265558
"119808","Laevigaterhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Rhynchonellidae",166.1,166.1,1.31344537042641,3.31978739644892
"119814","Laevirhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Norellidae",237,237,0.949145952419944,2.26650370373776
"119816","Laevithyris","Brachiopoda","Rhynchonellata","Terebratulida","Triadithyrididae",237,208.5,1.50852971897129,3.88382662591002
"119823","Laevitrigonia","Mollusca","Bivalvia","Trigoniida","Laevitrigoniidae",72.1,72.1,1.78255692863746,4.58334590431649
"119827","Laevitrigonia (Malagasitrigonia)","Mollusca","Bivalvia","Trigoniida","Laevitrigoniidae",174.1,174.1,1.77844068357123,4.57164604073752
"119828","Laevorhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Norellidae",252.17,252.17,0.597695185925512,1.25036878053333
"119829","Lagodon","Chordata","bony fish","Spariformes","Sparidae",47.8,1,2.60205999132796,5.80110313377057
"119836","Lahillia","Mollusca","Bivalvia","Cardiida","Lahillidae",83.6,20.44,1.88343429368301,4.87007601640885
"119889","Laiocochlis","Mollusca","Gastropoda","Neotaenioglossa","",47.8,5.333,1.44591541395112,3.54661018883004
"119891","Laioporella","Brachiopoda","Rhynchonellata","Spiriferinida","Pennospiriferinidae",303.7,268.8,1.52270499273475,3.92481100292736
"119898","Lajonkairia","Mollusca","Bivalvia","Cardiida","Petricolina",7.246,7.246,1.39794000867204,3.49012491738339
"119899","Lambdarina","Brachiopoda","Rhynchonellata","Rhynchonellida","Lambdarinidae",358.9,259.9,0.450351766275619,0.824360904938047
"119905","Lambeoceras","Mollusca","Cephalopoda","Actinocerida","Gonioceratidae",453,453,3.04430451917591,7.96836120781797
"119908","Lamellaerhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Cyclothyrididae",190.8,113,1.3773062510682,3.50442569356795
"119938","Lamellaria","Mollusca","Gastropoda","Neotaenioglossa","Velutinidae",3.6,1,1.44043676610577,3.53052446898517
"119941","Lamelliconchidium","Brachiopoda","Rhynchonellata","Pentamerida","Subrianidae",427.4,425.6,1.39526813369816,3.55635813465737
"119943","Lamelliphorus","Mollusca","Gastropoda","","Lamelliphoridae",182.7,129.4,1.22993768590793,2.9124834254202
"119948","Lamellokoninckina","Brachiopoda","Rhynchonellata","Athyridida","Koninckinidae",237,228,0.91182319428313,2.15859397188138
"119955","Lamellosathyris","Brachiopoda","Rhynchonellata","Athyridida","Athyrididae",358.9,346.7,1.54120469068326,3.97829840698601
"119958","Lamellosia","Brachiopoda","Strophomenata","Productida","Rugosochonetidae",268.8,268.8,1.12947505445961,2.74636564034848
"119959","Laminatia","Brachiopoda","Strophomenata","Productida","Sentosiidae",372.2,372.2,1.27669152884504,3.16560700138026
"119964","Lamnaespina","Brachiopoda","Rhynchonellata","Spiriferinida","Punctospiriferidae",295.5,259.9,1.19033169817029,2.96383397756408
"119987","Lamnimargus","Brachiopoda","Strophomenata","Productida","Productellidae",290.1,254.17,1.57588031568065,4.01763334369041
"120029","Lamniplica","Brachiopoda","Rhynchonellata","Spiriferinida","Paraspiriferinidae",298.9,295.5,1.36642295722597,3.4729592806109
"120033","Lampadena","Chordata","bony fish","Myctophiformes","",11.62,1,2.30102999566398,4.93687923198216
"120043","Lampangella","Brachiopoda","Strophomenata","Productida","Productellidae",254.17,252.17,1.17539583139403,2.8771382940341
"120049","Lampanyctus","Chordata","bony fish","Myctophiformes","",33.9,2.588,2.47712125471966,5.4424178067553
"120068","Lancangjiangia","Brachiopoda","Rhynchonellata","Spiriferinida","Spiriferellinidae",237,228,1.13987908640124,2.81796244825494
"120071","Lanceoloboceras","Mollusca","Cephalopoda","Goniatitida","Pseudohaloritidae",272.3,272.3,1.37401474029191,3.44069810905083
"120072","Lanceomyonia","Brachiopoda","Rhynchonellata","Rhynchonellida","Hebetoechiidae",423,419.2,1.33935204904559,3.39469029437614
"120109","Landonella","Brachiopoda","Rhynchonellata","Terebratulida","Dallinidae",28.1,28.1,1.38003024796783,3.51230147203907
"120112","Lanistes (Lanistes)","Mollusca","Gastropoda","Architaenioglossa","Ampullariidae",41.3,41.3,1.659631011607,4.17409516822856
"120113","Lapeirousia","Mollusca","Bivalvia","Hippuritida","Radiolitidae",86.3,72.1,2.24371434440859,2.31572544157907
"120147","Lapparia","Mollusca","Gastropoda","Neogastropoda","Volutidae",56,38,1.63296316816726,4.09579638529026
"120209","Laquethiris","Brachiopoda","Rhynchonellata","Terebratulida","Kingenidae",56,56,1.2894774663446,3.25048999637075
"120211","Laqueus","Brachiopoda","Rhynchonellata","Terebratulida","Laqueidae",13.82,1,1.64305768375145,4.27278171206405
"120223","Larimus","Chordata","bony fish","Perciformes","",11.62,5.333,2.54406804435028,5.63461465285086
"120226","Larispirifer","Brachiopoda","Rhynchonellata","Spiriferida","Spiriferidae",298.9,279.3,1.86693681773164,4.92007410207123
"120248","Lasaea","Mollusca","Bivalvia","Cardiida","Lasaeidae",5.333,1,0.519040038648345,0.991971968908984
"120249","Lasaeina","Mollusca","Bivalvia","Cardiida","Galeommatidae",20.44,20.44,0.599115610681184,1.21957582964097
"120250","Laterispina","Brachiopoda","Strophomenata","Productida","Permianellidae",272.3,254.17,1.72279839687091,4.43602494405654
"120254","Laternula","Mollusca","Bivalvia","Pandorida","Laternulidae",247.2,1,1.9576072870601,5.0809026046691
"120299","Laternula (Laternulina)","Mollusca","Bivalvia","Pholadomyoida","Laternulidae",61.6,61.6,1.62293896921149,4.12965368726167
"120303","Lates","Chordata","bony fish","Perciformes","Latidae",20.44,1,3.30102999566398,7.80776889160628
"120313","Latiaxis","Mollusca","Gastropoda","Neogastropoda","Coralliophilidae",72.1,1,1.68681495450732,4.25390925778435
