"","genus","phylum","class","order","family","fad","lad","logsize","logvol"
"1","Abadzekhia","Chordata","bony fish","Perciformes","",33.9,33.9,2.65321251377534,5.94795638152845
"4","Abra","Mollusca","Bivalvia","Cardiida","Semelidae",56,1,1.57978359661681,4.00699044347183
"128","Abra (Abra)","Mollusca","Bivalvia","Veneroida","Semelidae",41.3,1,1.36116099519503,3.38558560222436
"153","Abra (Syndosmya)","Mollusca","Bivalvia","Veneroida","Semelidae",56,56,1.35945602012099,3.38073944378363
"158","Abrekia","Brachiopoda","Rhynchonellata","Rhynchonellida","Rhynchonellidae",252.17,247.2,1.0661394928707,2.60476224113442
"161","Absonocytheropteron","Arthropoda","Ostracoda","Podocopida","",38,38,-0.0930905894791462,-1.05956165138995
"164","Abyssothyris","Brachiopoda","Rhynchonellata","Terebratulida","Dyscoliidae",5.333,5.333,1.07022263346096,2.61656765499509
"166","Acadagnostus","Arthropoda","Trilobita","Agnostida","Spinagnostidae",485.4,485.4,1.12764462998424,2.10029177006497
"167","Acambona","Brachiopoda","Rhynchonellata","Athyridida","Retziidae",358.9,358.9,1.60075514963962,4.15047416190606
"168","Acanthalosia","Brachiopoda","Strophomenata","Productida","Strophalosiidae",290.1,265.1,1.57356777303922,4.01104771169176
"229","Acanthatia","Brachiopoda","Strophomenata","Productida","Araksalosiidae",372.2,358.9,1.37106786227174,3.43437082445219
"238","Acanthinites","Mollusca","Cephalopoda","Ceratitida","Tibetitidae",228,228,1.98281376213186,5.09097275037204
"240","Acanthocardia","Mollusca","Bivalvia","Cardiida","Cardiidae",66,1,2.01072386539177,5.23187921326835
"272","Acanthocardia (Acanthocardia)","Mollusca","Bivalvia","Veneroida","Cardiidae",13.82,1,1.61637047229127,4.11098363320779
"283","Acanthoceras","Mollusca","Cephalopoda","","Acanthoceratidae",113,93.9,1.97906251870947,5.0808042355234
"309","Acanthoclymenia","Mollusca","Cephalopoda","Agoniatitida","Acanthoclymeniidae",382.7,382.7,1.09933527768596,2.69612307629148
"317","Acanthocosta","Brachiopoda","Strophomenata","Productida","Productidae",358.9,358.9,1.38996303643589,3.48818028135286
"318","Acanthocybium","Chordata","bony fish","Scombriformes","Scombridae",56,5.333,3.39794000867204,8.08598684586516
"323","Acanthocythere","Arthropoda","Ostracoda","Podocopida","Progonocytheridae",170.3,168.3,-0.148741651280925,-1.21402774159424
"325","Acanthocythereis","Arthropoda","Ostracoda","Podocopida","",83.6,11.62,-0.0222763947111523,-0.863008496020892
"328","Acanthodiscus","Mollusca","Cephalopoda","","Neocomitidae",145,132.9,2.25078582668703,5.81736600471953
"337","Acanthoglypha","Brachiopoda","Rhynchonellata","Pentamerida","Clarkellidae",467.3,467.3,0.957287952867836,2.29004432959091
"338","Acanthohoplites","Mollusca","Cephalopoda","","Deshayesitidae",125,113,2.17527981844238,5.61269147962429
"346","Acantholytoceras","Mollusca","Cephalopoda","","Crioceratitidae",129.4,129.4,1.86332286012046,4.76706814740134
"347","Acanthonema","Mollusca","Gastropoda","Euomphalina","Euomphalidae",407.6,393.3,1.25743856685981,2.9932280688005
"350","Acanthonemus","Chordata","bony fish","Perciformes","Scombridae",56,56,2.14612803567824,4.49217279680358
"351","Acanthoparypha","Arthropoda","Trilobita","Phacopida","Cheiruridae",458.4,458.4,1.03363534841777,1.83723942047174
"353","Acanthopecten","Mollusca","Bivalvia","Pectinida","Limipectinidae",372.2,254.17,1.08386080086657,2.59739772908622
"487","Acanthoplecta","Brachiopoda","Strophomenata","Productida","Productellidae",358.9,346.7,1.61815273337852,4.13801624243689
"496","Acanthopleuroceras","Mollusca","Cephalopoda","Ammonitida","Polymorphitidae",190.8,190.8,1.5532760461371,3.92662265326636
"617","Acanthopygaeus","Chordata","bony fish","Perciformes","",56,56,2.2148438480477,4.68944831198773
"618","Acanthopyge","Arthropoda","Trilobita","Lichida","Lichidae",433.4,387.7,1.72631961211078,3.77547594408432
"630","Acanthorhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Acanthothirididae",168.3,152.1,1.40773072802634,3.59239071315166
"633","Acanthorthis","Brachiopoda","Rhynchonellata","Orthida","Platystrophiidae",467.3,467.3,1.31076409622126,3.31203514032006
"634","Acanthoscapha","Arthropoda","Ostracoda","Podocopida","Beecherellidae",425.6,242,0.304921161900892,0.0451669395939341
"662","Acanthoscaphites","Mollusca","Cephalopoda","","Scaphitidae",83.6,72.1,2.25042000230889,5.81637436269521
"672","Acanthospirifer","Brachiopoda","Rhynchonellata","Spiriferida","Delthyrididae",419.2,419.2,1.24575935596728,3.12408964967635
"684","Acanthospirina","Brachiopoda","Rhynchonellata","Spiriferida","Gerkispiridae",372.2,330.9,0.7481880270062,1.68548244677928
"687","Acanthostega","Chordata","bony fish","","Acanthostegidae",372.2,372.2,2.84509804001426,6.49883855463928
"688","Acanthothiris","Brachiopoda","Rhynchonellata","Rhynchonellida","Acanthothirididae",190.8,168.3,1.36716948853468,3.47511769540571
"699","Acanthotoechia","Brachiopoda","Strophomenata","Billingsellida","Polytoechiidae",467.3,467.3,0.962132469298235,2.26980937547045
"700","Acanthurus","Chordata","bony fish","Perciformes","",47.8,47.8,2.84509804001426,6.49883855463928
"701","Acaretyrricula","Brachiopoda","Strophomenata","Orthotetida","Triplesiidae",443.4,438.5,0.473827459679733,0.879220056675016
"703","Acastava","Arthropoda","Trilobita","Phacopida","Dalmanitidae",419.2,407.6,1.39172882249074,2.83923973532681
"712","Acaste","Arthropoda","Trilobita","Phacopida","Calmoniidae",440.8,407.6,1.48401496266756,3.09747047173809
"729","Acastella","Arthropoda","Trilobita","Phacopida","Dalmanitidae",423,410.8,1.45209324901773,3.00814863416301
"783","Acastellina","Arthropoda","Trilobita","Phacopida","Dalmanitidae",407.6,393.3,0.992995098431341,1.72352178462927
"786","Acastoides","Arthropoda","Trilobita","Phacopida","Calmoniidae",419.2,407.6,1.45568216450079,3.01819096864933
"803","Acentrophorus","Chordata","bony fish","Semionotiformes","Semionotidae",259.9,247.2,1.84509804001426,3.62794889501516
"821","Acernaspis","Arthropoda","Trilobita","Phacopida","Phacopidae",443.4,438.5,1.46128726971831,3.03387491041144
"897","Acerocare","Arthropoda","Trilobita","Ptychopariida","Olenidae",485.4,485.4,1.31586543073678,2.6269623610456
"898","Acerocarina","Arthropoda","Trilobita","Ptychopariida","Olenidae",485.4,485.4,0.952186816838148,1.60933397064877
"902","Acesta","Mollusca","Bivalvia","Pectinida","Limidae",163.5,1,2.40483371661994,6.35208255886854
"962","Acesta (Acesta)","Mollusca","Bivalvia","Pectinida","Limidae",166.1,56,2.26717172840301,5.96079718682821
"970","Acharax","Mollusca","Bivalvia","Solemyida","Solemyidae",113,3.6,2.38021124171161,6.28209654181438
"990","Achoania","Chordata","bony fish","","",419.2,419.2,2.20411998265592,4.65866127772329
"991","Acidaspis","Arthropoda","Trilobita","Odontopleurida","Odontopleuridae",453,433.4,1.45484486000851,3.01584806260483
"1013","Acidiphorus","Arthropoda","Trilobita","Proetida","Bathyuridae",485.4,458.4,1.23185985058745,2.39190189819545
"1029","Acila","Mollusca","Bivalvia","Nuculida","Nuculidae",113,1,1.69897000433602,4.34576150504529
"1069","Acila (Acila)","Mollusca","Bivalvia","Nuculida","Nuculidae",56,3.6,1.69897000433602,4.34576150504529
"1101","Acila (Truncacila)","Mollusca","Bivalvia","Nuculida","Nuculidae",125,1,1.36172783601759,3.38719676972977
"1244","Acilia","Mollusca","Gastropoda","Sorbeoconcha","Prostyliferidae",228,3.6,1.17493159352844,2.75098142405895
"1246","Acipenser","Chordata","bony fish","Acipenseriformes","Acipenseridae",72.1,1,3.78532983501077,9.1981402925446
"1292","Acirsa","Mollusca","Gastropoda","Ptenoglossa","Epitoniidae",166.1,1,1.54444013731769,3.83588614570925
"1308","Acirsa (Acirsella)","Mollusca","Gastropoda","Ptenoglossa","Epitoniidae",59.2,38,0.968949680981343,2.14620312257436
"1315","Acirsa (Hemiacirsa)","Mollusca","Gastropoda","Ptenoglossa","Epitoniidae",129.4,2.588,1.54444013731769,3.83588614570925
"1339","Acirsa (Plesioacirsa)","Mollusca","Gastropoda","Ptenoglossa","Epitoniidae",72.1,72.1,1.38129562300383,3.3568816494251
"1347","Acleistoceras","Mollusca","Cephalopoda","Oncocerida","Acleistoceratidae",393.3,387.7,2.05204776232114,5.27864571095644
"1355","Aclis","Mollusca","Gastropoda","Neotaenioglossa","",66,3.6,0.838974954955468,1.76458760561057
"1370","Aclisina","Mollusca","Gastropoda","Murchisoniina","Murchisoniidae",393.3,254.17,1.28296599558624,3.06817850884415
"1382","Acmaea","Mollusca","Gastropoda","","Lottiidae",208.5,1,1.66360670812452,4.18576811056291
"1444","Acmarhachis","Arthropoda","Trilobita","Agnostida","Agnostidae",500.5,485.4,0.930717543244603,1.5492596591687
"1445","Acme (Platyla)","Mollusca","Gastropoda","Architaenioglossa","Aciculidae",7.246,7.246,0.469822015978163,0.680726966285318
"1446","Acolosia","Brachiopoda","Rhynchonellata","Rhynchonellida","Pontisiidae",295.5,272.3,0.996949248495381,2.40471537722775
"1453","Acompsoceras","Mollusca","Cephalopoda","","Acanthoceratidae",113,100.5,2.36127442256221,6.11686801012175
"1457","Aconeceras","Mollusca","Cephalopoda","Ammonitida","Oppeliidae",129.4,113,1.42878251149695,3.58915738828588
"1471","Acorylus","Mollusca","Bivalvia","Cardiida","Tellinidae",11.62,1,1.06069784035361,2.53156018206787
"1472","Acosarina","Brachiopoda","Rhynchonellata","Orthida","Schizophoriidae",458.4,252.17,1.11544408343624,2.74731454468371
"1893","Acratia","Arthropoda","Ostracoda","Podocopida","Acratiidae",387.7,190.8,0.848958460827495,1.55520667234543
"2143","Acratina","Arthropoda","Ostracoda","Podocopida","Bairdiidae",298.9,247.2,0.112735300117872,-0.488267602372265
"2150","Acratinella","Arthropoda","Ostracoda","Podocopida","",382.7,254.17,-0.0655015487564323,-0.982985012688916
"2171","Acrioceras","Mollusca","Cephalopoda","","Ancyloceratidae",132.9,129.4,2.60122679483569,5.0036730345573
"2189","Acritosia","Brachiopoda","Strophomenata","Productida","Cyclacanthariidae",298.9,268.8,1.40260524191991,3.52418260687854
"2284","Acrocanites","Mollusca","Cephalopoda","Goniatitida","Prodromitidae",358.9,358.9,1.40226138245468,3.51726642731587
"2293","Acrochordiceras","Mollusca","Cephalopoda","Ceratitida","Acrochordiceratidae",247.2,247.2,1.71289010821065,4.35928931268733
"2428","Acrocoelum","Mollusca","Gastropoda","Neotaenioglossa","",72.1,41.3,0.880813592280791,1.8874289740839
"2443","Acrocosmia","Mollusca","Gastropoda","Murchisoniina","Coelostylinidae",237,237,1.82013575187043,4.6453490904609
"2444","Acrocythere","Arthropoda","Ostracoda","Podocopida","Progonocytheridae",190.8,83.6,-0.180456064458131,-1.30205483843661
"2465","Acrolepis","Chordata","bony fish","Palaeonisciformes","Acrolepidae",358.9,208.5,2.47712125471966,5.4424178067553
"2484","Acropholis","Chordata","bony fish","Palaeoniscida","Acrolepididae",259.9,259.9,2.81291335664286,6.40643987995005
"2485","Acropoma","Chordata","bony fish","Perciformes","",61.6,56,2.54406804435028,5.63461465285086
"2489","Acrospirifer","Brachiopoda","Rhynchonellata","Spiriferida","Acrospiriferidae",419.2,387.7,1.7160033436348,4.48368645198824
"2543","Acrosterigma","Mollusca","Bivalvia","Cardiida","Cardiidae",7.246,1,2.14921911265538,5.62553301017534
"2549","Acrosterigma (Vasticardium)","Mollusca","Bivalvia","Cardiida","Cardiidae",15.97,1,2.14921911265538,5.62553301017534
"2555","Actaeonema","Mollusca","Gastropoda","Neotaenioglossa","",41.3,41.3,0.402777069610347,0.483877989178257
"2556","Acteocina","Mollusca","Gastropoda","Cephalaspidea","Cylichnidae",129.4,1,0.935507265824713,2.04801369037681
"2719","Acteon (Acteon)","Mollusca","Gastropoda","Cephalaspidea","Acteonidae",20.44,11.62,1.46538285144842,3.60376804137294
"2721","Acteonina","Mollusca","Gastropoda","","Acteoninidae",265.1,72.1,1.01346923230917,2.27691585507579
"2762","Actinoceras","Mollusca","Cephalopoda","Actinocerida","Actinoceratidae",467.3,346.7,2.63117309622042,6.84848373367901
"2771","Actinoconchus","Brachiopoda","Rhynchonellata","Athyridida","Athyrididae",372.2,259.9,1.50096791833648,3.86196350754501
"2789","Actinocythereis","Arthropoda","Ostracoda","Podocopida","Trachyleberididae",41.3,5.333,0.0170333392987804,-0.753899689775428
"2800","Actinodesma","Mollusca","Bivalvia","Ostreida","Pterineidae",410.8,387.7,1.73367865567709,4.44441609901794
"2813","Actinodesma (Actinodesma)","Mollusca","Bivalvia","Ostreida","Pterineidae",372.2,372.2,1.56784945057311,3.97306926570025
"2816","Actinodontophora","Mollusca","Bivalvia","Unionida","",272.3,254.17,1.66586230020316,4.25165738453371
"2819","Actinomena","Brachiopoda","Strophomenata","Strophomenida","Strophomenidae",458.4,453,1.4233551166696,3.58327385850383
"2821","Actuaria","Arthropoda","Ostracoda","Podocopida","Bairdiidae",279.3,272.3,0,-0.801177733345886
"2823","Acuminothyris","Brachiopoda","Rhynchonellata","Spiriferida","Strophopleuridae",358.9,346.7,1.70926996097583,4.4642185039188
"2830","Acutatheca","Brachiopoda","Rhynchonellata","Spiriferida","Adolfiidae",382.7,382.7,1.07518185461869,2.63090604401194
"2831","Acuticostites","Mollusca","Cephalopoda","","Perisphinctidae",152.1,152.1,1.88171064251071,4.81691200374831
"2834","Acuticythereis","Arthropoda","Ostracoda","Podocopida","Leguminocythereididae",38,1,-0.0555173278498314,-0.95527262918268
"2841","Acutimitoceras","Mollusca","Cephalopoda","Goniatitida","Gattendorfiidae",372.2,358.9,1.42433706667646,3.57710709813513
"2864","Acutimitoceras (Stockumites)","Mollusca","Cephalopoda","Goniatitida","Gattendorfiidae",358.9,358.9,1.13540684450533,2.79390245808947
"2866","Acutostrea","Mollusca","Bivalvia","Ostreida","Flemingostreidae",100.5,28.1,1.89086793881144,4.89120513590922
"2981","Adamussium","Mollusca","Bivalvia","Pteroida","Pectinidae",28.1,11.62,2.07918124604762,5.42645995415249
"2983","Adatsagochonetes","Brachiopoda","Strophomenata","Productida","Anopliidae",290.1,290.1,1.03662889536216,2.48195942990848
"2984","Addisonia","Mollusca","Gastropoda","","Addisoniidae",3.6,3.6,1.09621458534641,2.51986240046316
"2990","Adelomelon","Mollusca","Gastropoda","Neogastropoda","Volutidae",20.44,1,2.32014628611105,6.11341741686456
"2996","Adelphobolbina","Arthropoda","Ostracoda","Palaeocopida","Hollinidae",387.7,387.7,0.278181784567518,-0.0290513580891334
"3004","Adipicola","Mollusca","Bivalvia","Mytilida","Mytilidae",11.62,11.62,1.72345567203519,4.41535866631996
"3005","Admete","Mollusca","Gastropoda","Neogastropoda","Cancellariidae",61.6,1,1.30092140846954,3.12089694402974
"3015","Admetopsis","Mollusca","Gastropoda","Neogastropoda","",100.5,100.5,1.09847066565063,2.52648642097801
"3016","Adminiculoria","Brachiopoda","Rhynchonellata","Spiriferida","Strophopleuridae",268.8,268.8,1.13861843389949,2.81431757632644
"3017","Adnatida","Brachiopoda","Rhynchonellata","Terebratulida","Terebratellidae",2.588,2.588,1.04877463878081,2.55455596372866
"3020","Adnatoceras","Mollusca","Cephalopoda","Pseudorthocerida","Spyroceratidae",323.2,323.2,2.02546971906106,5.20660047232334
"3021","Adolfia","Brachiopoda","Rhynchonellata","Spiriferida","Adolfiidae",410.8,358.9,1.56359972888153,4.04304824562414
"3043","Adolfispirifer","Brachiopoda","Rhynchonellata","Spiriferida","Echinospiriferidae",382.7,382.7,1.26221370547642,3.17166342321405
"3044","Adrana","Mollusca","Bivalvia","Nuculanida","Nuculanidae",56,1,2.02938377768521,5.28491746165158
"3077","Adrenia","Brachiopoda","Rhynchonellata","Terebratulida","Meganterididae",407.6,407.6,0.749003603737726,1.68784048972146
"3081","Adrianites","Mollusca","Cephalopoda","Goniatitida","Adrianitidae",272.3,268.8,1.31544551822458,3.28193421740149
"3097","Adygella","Brachiopoda","Rhynchonellata","Terebratulida","Dielasmatidae",247.2,228,1.41995574848976,3.62773640425279
"3131","Adygellopsis","Brachiopoda","Rhynchonellata","Terebratulida","",228,228,1.28510702956681,3.23785393504169
"3132","Aechmina","Arthropoda","Ostracoda","Palaeocopida","Aechminidae",467.3,290.1,0.296665190261531,0.0222515159042447
"3173","Aechminaria","Arthropoda","Ostracoda","Palaeocopida","Aechminidae",419.2,419.2,0.258278015243031,-0.0842966189761977
"3174","Aechminella","Arthropoda","Ostracoda","Palaeocopida","Drepanellidae",387.7,272.3,0.0304893221479114,-0.716551021245714
"3179","Aegasteroceras","Mollusca","Cephalopoda","Ammonitida","Arietitidae",199.3,199.3,1.73045926004577,4.4069141029759
"3183","Aegiromena","Brachiopoda","Strophomenata","Strophomenida","Xenambonitidae",467.3,438.5,0.954081629836856,2.24688228862553
"3207","Aegoceras","Mollusca","Cephalopoda","Ammonitida","Liparoceratidae",190.8,190.8,1.66039109840247,4.21697997664557
"3208","Aegoceras (Beaniceras)","Mollusca","Cephalopoda","Ammonitida","Liparoceratidae",190.8,190.8,1.64679568877847,4.18012682981717
"3245","Aegoceras (Oistoceras)","Mollusca","Cephalopoda","Ammonitida","Liparoceratidae",190.8,190.8,1.66039109840247,4.21697997664557
"3284","Aemula","Brachiopoda","Rhynchonellata","Terebratulida","Platidiidae",72.1,66,0.29907126002741,0.386969895289219
"3312","Aenigmathyris","Brachiopoda","Rhynchonellata","Terebratulida","Dyscoliidae",38,38,1.35198945543563,3.43122829968408
"3313","Aenona","Mollusca","Bivalvia","Cardiida","Tellinidae",72.1,72.1,1.23779499327392,3.03493461581869
"3401","Aeoliscoides","Chordata","bony fish","Gasterosteiformes","",56,56,1.60205999132796,2.93021347414645
"3402","Aeoliscus","Chordata","bony fish","Gasterosteiformes","",33.9,5.333,2.17609125905568,4.57819390496689
"3405","Aeora","Mollusca","Bivalvia","Cardiida","Veneridae",61.6,61.6,1.37657695705651,3.4294033652137
"3406","Aequipecten","Mollusca","Bivalvia","Pectinida","Pectinidae",247.2,1,2.00560944536028,5.21734217388143
"3647","Aequspiriferina","Brachiopoda","Rhynchonellata","Spiriferinida","Balatonospiridae",247.2,247.2,1.14829409743475,2.8422924182123
"3650","Aesopomum","Brachiopoda","Strophomenata","Orthotetida","Areostrophiidae",423,410.8,1.52009032811284,3.85875526691593
"3667","Aesopus","Mollusca","Gastropoda","Neogastropoda","Columbellidae",5.333,1,0.750199727829182,1.50393689889831
"3674","Aetheia","Brachiopoda","Rhynchonellata","Rhynchonellida","Basiliolidae",28.1,28.1,1.33645973384853,3.38632786424131
"3680","Aetheodontus","Chordata","bony fish","Perleidiformes","Perleididae",247.2,247.2,1.69897000433602,3.20843142840532
"3684","Afghanospirifer","Brachiopoda","Rhynchonellata","Spiriferida","Spiriferidae",323.2,323.2,1.55714614231836,4.02438926032112
"3685","Afilasma","Brachiopoda","Rhynchonellata","Terebratulida","Cranaenidae",382.7,382.7,1.44294986957786,3.69421834623025
"3686","Afrocardium","Mollusca","Bivalvia","Cardiida","Cardiidae",11.62,1,1.20411998265592,2.93921800421956
"3688","Afrocypraea","Mollusca","Gastropoda","Neotaenioglossa","",86.3,86.3,1.88632148655948,4.83967535781509
"3689","Afrocytheridea","Arthropoda","Ostracoda","Podocopida","",166.1,163.5,-0.0861861476162833,-1.04039755810817
"3707","Agarhyncha","Brachiopoda","Rhynchonellata","Rhynchonellida","Trigonirhynchiidae",430.5,425.6,0.883538003439867,2.07681418089664
"3712","Agaronia","Mollusca","Gastropoda","Neogastropoda","Olivellidae",66,1,1.77429793849928,4.51076584200198
"3856","Agasoma","Mollusca","Gastropoda","Neogastropoda","",38,23.03,1.51890857369141,3.76092356529037
"3872","Agassiceras","Mollusca","Cephalopoda","Ammonitida","Arietitidae",199.3,199.3,1.71231290868137,4.35772469495309
"3874","Agathiceras","Mollusca","Cephalopoda","Goniatitida","Agathiceratidae",303.7,265.1,1.56513915196979,3.9587800352934
"4090","Agathodonta","Mollusca","Gastropoda","","Chilodontidae",38,38,1.19562294358694,2.81173277542306
"4091","Agathotoma","Mollusca","Gastropoda","Neogastropoda","Turridae",23.03,1,0.853495412574778,1.80722075522645
"4093","Agelasina","Mollusca","Bivalvia","Cardiida","Dicerocardiidae",89.8,72.1,2.01923501501913,5.25607099192539
"4095","Agelesia","Brachiopoda","Strophomenata","Productida","Aulostegidae",279.3,272.3,1.08439751914115,2.61799436031503
"4132","Agerina","Arthropoda","Trilobita","Corynexochida","Leiostegiidae",485.4,453,1.05853447606998,1.90691098824245
"4139","Agerostrea","Mollusca","Bivalvia","Ostreida","Ostreidae",83.6,5.333,1.66061254003405,4.23673565931747
"4293","Aglyptorhynchus","Chordata","bony fish","Perciformes","Palaeorhynchidae",56,28.1,3.23044892137827,7.60513841527428
"4303","Agnesia","Mollusca","Gastropoda","Murchisoniina","Porcelliidae",387.7,358.9,1.24711364177086,2.96291331649513
"4308","Agniesella","Mollusca","Gastropoda","","Portlockiellidae",410.8,372.2,1.45225836654807,3.56523357207056
"4313","Agnomyax","Mollusca","Bivalvia","Cardiida","Tellinidae",100.5,72.1,1.12710479836481,2.72031287704226
"4315","Agnostus","Arthropoda","Trilobita","Agnostida","Agnostidae",500.5,485.4,1.24038990339662,2.41577029072241
"4316","Agoniatites","Mollusca","Cephalopoda","Agoniatitida","Agoniatitidae",393.3,387.7,2.25887662937213,5.83929778519249
"4363","Agramatia","Brachiopoda","Strophomenata","Productida","Araksalosiidae",372.2,372.2,1.16076856186113,2.83548292623132
"4364","Agriopleura","Mollusca","Bivalvia","Hippuritida","Caprotinidae",129.4,72.1,1.70538850216767,1.70898588885803
"4376","Agriopoma","Mollusca","Bivalvia","Cardiida","Veneridae",38,3.6,1.88081359228079,4.86262703113371
"4400","Aguilerella","Mollusca","Bivalvia","Ostreida","Bakevelliidae",199.3,139.8,1.82690740500869,4.70940606712438
"4416","Ahtiella","Brachiopoda","Strophomenata","Strophomenida","Taffiidae",477.7,467.3,1.56407397897715,3.98401139554201
"4431","Aioloceras","Mollusca","Cephalopoda","","Hoplitidae",125,113,1.96689229586714,5.04781434983797
"4440","Aipoceras","Mollusca","Cephalopoda","Nautilida","Aipoceratidae",358.9,358.9,2.33066737597357,6.0339013314331
"4441","Airtonia","Brachiopoda","Strophomenata","Productida","Anopliidae",346.7,346.7,1.63848925695464,4.19593035740467
"4442","Akatchania","Brachiopoda","Strophomenata","Productida","Linoproductidae",295.5,290.1,1.32541302966731,3.30435552393191
"4445","Akebiconcha","Mollusca","Bivalvia","","Glossidae",5.333,5.333,2.10890312766731,5.51094033728463
"4448","Akelina","Brachiopoda","Strophomenata","Strophomenida","Plectambonitidae",485.4,485.4,0.927242006460018,2.17044872179098
"4449","Akera","Mollusca","Gastropoda","Anaspidea","",166.1,1,0.877083256650651,1.87647642966645
"4471","Akmilleria","Mollusca","Cephalopoda","Prolecanitida","Medlicottiidae",295.5,290.1,1.71712797390997,4.37077691704612
"4481","Aktastioceras","Mollusca","Cephalopoda","Bactritida","Parabactritidae",298.9,298.9,1.21642983087625,3.0135318841814
"4483","Alaba","Mollusca","Gastropoda","Sorbeoconcha","Litiopidae",61.6,1,0.834039018159467,1.75009532599821
"4541","Alabushevothyris","Brachiopoda","Rhynchonellata","Terebratulida","Alabushevothyrididae",113,113,1.50785587169583,3.881878359425
"4542","Alaskospira","Brachiopoda","Rhynchonellata","Spiriferida","Reticulariidae",438.5,407.6,1.20139712432045,2.99582698205649
"4559","Alatacythere","Arthropoda","Ostracoda","Podocopida","Brachycytheridae",72.1,72.1,0.348376987017759,0.165783711045886
"4560","Alatiformia","Brachiopoda","Rhynchonellata","Spiriferida","Spinocyrtiidae",393.3,393.3,1.56643749219507,4.05125295217647
"4565","Alatochonetes","Brachiopoda","Strophomenata","Productida","Rugosochonetidae",265.1,265.1,1.12057393120585,2.72101712522341
"4566","Alatoproductus","Brachiopoda","Strophomenata","Productida","Sentosiidae",303.7,254.17,1.45004371957971,3.65927735101227
"4579","Alatorthotetina","Brachiopoda","Strophomenata","Orthotetida","Meekellidae",268.8,254.17,1.76952502017105,4.56909247763627
"4589","Albanites","Mollusca","Cephalopoda","Ceratitida","Meekoceratidae",251.2,251.2,1.43023635341151,3.59309832504499
"4596","Albertoceras","Mollusca","Cephalopoda","Ellesmerocerida","Ellesmeroceratidae",477.7,477.7,1.15523479151942,2.84765017609323
"4597","Albula","Chordata","bony fish","Albuliformes","Albulidae",86.3,11.62,3.01703333929878,6.9924458274796
"4607","Alceste","Arthropoda","Trilobita","Corynexochida","Styginidae",453,453,0.849419413796899,1.32177505751654
"4608","Alcithoe","Mollusca","Gastropoda","Neogastropoda","Volutidae",5.333,1,2.26150077319828,5.94122980461017
"4609","Alcithoe (Alcithoe)","Mollusca","Gastropoda","Neogastropoda","Volutidae",5.333,3.6,2.0732049564886,5.3883792033211
"4613","Aldanispirifer","Brachiopoda","Rhynchonellata","Spiriferida","Delthyrididae",410.8,410.8,1.33485568961729,3.38169015814669
"4614","Aldina","Brachiopoda","Rhynchonellata","Rhynchonellida","Allorhynchidae",279.3,279.3,0.869622799885188,2.03658173401244
"4616","Aldingia","Brachiopoda","Rhynchonellata","Terebratulida","Kingenidae",41.3,23.03,1.16928247150342,2.90297522760032
"4642","Alectryonella","Mollusca","Bivalvia","Ostreida","Ostreidae",3.6,1,2.07918124604762,5.42645995415249
"4643","Alepisaurus","Chordata","bony fish","Alepisauriformes","",15.97,7.246,3.33243845991561,7.89793912685094
"4646","Alexenia","Brachiopoda","Strophomenata","Productida","Productidae",303.7,268.8,1.45545396877863,3.67468459566437
"4679","Aligena","Mollusca","Bivalvia","Cardiida","Kelliidae",20.44,1,0.950364854376123,2.21795376082039
"4699","Aligena (Aligena)","Mollusca","Bivalvia","Veneroida","Kelliidae",5.333,5.333,0.950364854376123,2.21795376082039
"4701","Aliomactra","Mollusca","Bivalvia","Cardiida","Mactridae",100.5,100.5,1.56749689110422,3.97206716363318
"4708","Alipunctifera","Brachiopoda","Rhynchonellata","Spiriferinida","Punctospiriferidae",242,237,1.79302165984598,4.706366293063
"4723","Aliquantula","Brachiopoda","Rhynchonellata","Terebratulida","Terebratellidae",41.3,23.03,1.43922739755579,3.68345571833786
"4732","Alispira","Brachiopoda","Rhynchonellata","Atrypida","Atrypinidae",443.4,438.5,0.9006401839826,2.1262610012458
"4735","Alispirifer","Brachiopoda","Rhynchonellata","Spiriferida","Strophopleuridae",346.7,315.2,1.68761812957177,4.40161746804554
"4748","Alispiriferella","Brachiopoda","Rhynchonellata","Spiriferida","Spiriferellidae",298.9,259.9,1.51108084553912,3.89120259161056
"4799","Alitaria","Brachiopoda","Strophomenata","Productida","Productellidae",346.7,323.2,1.42802674713635,3.59657767333361
"4802","Alithyris","Brachiopoda","Rhynchonellata","Terebratulida","Cancellothyrididae",100.5,100.5,0.954724790979063,2.28263356666959
"4803","Allanella","Brachiopoda","Rhynchonellata","Spiriferida","Adolfiidae",387.7,382.7,1.52074547151948,3.91914552107494
"4947","Allanetes","Brachiopoda","Strophomenata","Productida","Chonetidae",410.8,407.6,1.32990612340021,3.31715090393056
"4949","Alligaticeras","Mollusca","Cephalopoda","","Perisphinctidae",166.1,163.5,1.63918755993575,4.15950343581253
"4957","Alloclionites","Mollusca","Cephalopoda","Ceratitida","Steinmannitidae",228,228,1.95932764597217,5.02730881444072
"4971","Allocosmia","Mollusca","Gastropoda","Neotaenioglossa","Zygopleuridae",247.2,170.3,1.97799780995874,5.10884390016988
"4979","Allocotoceras","Mollusca","Cephalopoda","Endocerida","Endoceratidae",467.3,467.3,1.7782236267661,4.53638921763542
"4980","Allocrioceras","Mollusca","Cephalopoda","","Anisoceratidae",100.5,100.5,1.83037478319355,4.67775562572803
